hand,ioc,height,player,fullname,birthdate
R,GBR,169.0,Lottie Dod,Dod L.,1872-09-24
R,USA,152.0,Juliette Atkinson,Atkinson J.,1873-04-15
R,USA,178.0,Marion Jones,Jones M.,1879-11-02
R,USA,164.0,May Sutton,Sutton M.,1886-09-25
R,USA,157.0,Mary Browne,Browne M.,1891-06-03
R,USA,163.0,Marion Jessup,Jessup M.,1896-05-06
R,FRA,178.0,Suzanne Lenglen,Lenglen S.,1899-05-24
L,USA,174.0,DUPE Lilian Scharman,Scharman L.,1901-06-26
L,USA,174.0,Lillian Scharman,Scharman L.,1901-06-26
R,USA,171.0,Helen Wills,Wills H.,1905-10-06
R,GER,152.0,Cilly Aussem,Aussem C.,1909-01-04
R,IND,147.0,Leela Row,Row L.,1911-12-19
R,USA,163.0,Sarah Palfrey Cooke,Palfrey Cooke S.,1912-09-18
R,ITA,168.0,Annalisa Bossi,Bossi A.,1915-11-03
R,CHI,159.0,Anita Lizana,Lizana A.,1915-11-19
R,AUS,178.0,Nancye Wynne Bolton,Wynne Bolton N.,1916-12-02
R,AUS,170.0,Thelma Long,Long T.,1918-10-14
R,USA,166.0,Pauline Betz,Betz P.,1919-08-06
R,GBR,146.0,Gem Hoahing,Hoahing G.,1920-10-20
R,USA,171.0,Louise Brough,Brough L.,1923-03-11
R,USA,173.0,Gussie Moran,Moran G.,1923-09-08
R,USA,165.0,Shirley Fry,Fry S.,1927-06-30
R,USA,180.0,Althea Gibson,Gibson A.,1927-08-25
R,USA,170.0,Nancy Chaffee,Chaffee N.,1929-03-06
R,USA,163.0,Beverly Baker Fleitz,Baker Fleitz B.,1930-03-13
R,USA,173.0,Pat Stewart,Stewart P.,1934-08-19
R,USA,165.0,Maureen Connolly,Connolly M.,1934-09-17
R,USA,170.0,Darlene Hard,Hard D.,1936-01-06
R,AUS,155.0,Lorraine Coghlan,Coghlan L.,1937-09-23
R,BRA,170.0,Maria Bueno,Bueno M.,1939-10-11
R,GBR,151.0,Deidre Catt,Catt D.,1940-07-04
R,AUS,175.0,Margaret Court,Court M.,1942-07-16
R,USA,160.0,Nancy Richey,Richey N.,1942-08-23
R,USA,170.0,Karen Susman,Susman K.,1942-12-11
